COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Donnie Tyndall,0.7,54,0.7,65,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
Ken McDonald,0.7,54,0.5,69,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
Joe Golding,0.7,54,0.7,65,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
Brian Gregory,0.7,54,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.40%,0.00%
Bill Grier,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
Bob Richey,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
Matt McMahon,0.6,64,0.1,90,5,2,3,0.4,3,2,0,0,0,0,0,0,1.40%,0.00%
Grant McCasland,0.6,64,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
Jeff Boals,0.6,64,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.30%,0.00%
Trent Johnson,0.6,64,0.4,73,5,3,2,0.6,2,2,1,0,0,0,0,0,9.60%,1.40%
Chris Collins,0.6,64,0.4,73,4,2,2,0.5,2,2,0,0,0,0,0,0,3.00%,0.30%
Ben Jacobson,0.5,69,1.1,42,8,4,4,0.5,4,3,1,0,0,0,0,0,13.10%,1.60%
Steve Proehm,0.5,69,0.5,69,3,2,1,0.667,1,1,1,0,0,0,0,0,7.70%,1.20%
Brett Reed,0.5,69,0.9,47,3,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
Avery Johnson,0.5,69,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
Greg Gard,0.4,73,0.8,54,11,6,5,0.545,5,4,2,0,0,0,0,0,20.90%,3.00%
Dennis Gates,0.4,73,0,95,3,1,2,0.333,2,1,0,0,0,0,0,0,0.80%,0.10%
