COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Fred Hoiberg,-0.9,247,-1,251,8,4,4,0.5,4,3,1,0,0,0,0,0,19.90%,2.20%
Phil Martelli,-0.9,247,-1,251,4,1,3,0.25,3,1,0,0,0,0,0,0,5.40%,0.30%
Dave Paulsen,-0.9,247,-0.8,243,2,0,2,0,2,0,0,0,0,0,0,0,1.70%,0.10%
Mark Fox,-0.9,247,-1.2,263,2,0,2,0,2,0,0,0,0,0,0,0,1.40%,0.00%
Jim Boyten,-0.9,247,-1.2,263,1,0,1,0,1,0,0,0,0,0,0,0,3.40%,0.30%
Mark Pope,-0.9,247,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,4.50%,0.40%
Penny Hardaway,-1,257,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,9.70%,1.50%
Mike Rhoades,-1,257,-1.8,286,3,0,3,0,3,0,0,0,0,0,0,0,1.90%,0.10%
Todd Golden,-1,257,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,3.30%,0.30%
Larry Brown,-1,257,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,3.10%,0.20%
Tim Miles,-1,257,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,1.60%,0.10%
Craig Neal,-1,257,-0.9,245,1,0,1,0,1,0,0,0,0,0,0,0,3.50%,0.30%
Brad Brownell,-1,257,-0.6,222,5,2,3,0.4,3,1,1,0,0,0,0,0,11.90%,1.60%
Scott Nagy,-1.1,264,-1.1,253,5,0,5,0,5,0,0,0,0,0,0,0,1.40%,0.00%
Leon Rice,-1.1,264,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,1.90%,0.20%
Herb Sendek,-1.1,264,-0.7,233,3,1,2,0.333,2,1,0,0,0,0,0,0,8.60%,1.50%
Bob Huggins,-1.1,264,-0.2,156,25,14,11,0.56,11,7,5,1,1,0,0,1,64.20%,17.60%
Will Wade,-1.2,268,-0.9,245,9,4,5,0.444,5,3,1,0,0,0,0,0,20.30%,1.90%
Josh Pastner,-1.2,268,-1.6,280,7,2,5,0.286,5,2,0,0,0,0,0,0,10.80%,1.30%
Nate Oats,-1.2,268,-2.1,294,12,6,6,0.5,6,4,2,0,0,0,0,2,46.80%,15.20%
Ed Cooley,-1.3,271,-2.1,294,9,3,6,0.333,6,2,1,0,0,0,0,0,9.40%,0.70%
Craig Smith,-1.3,271,-1.4,275,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.10%
Steve Lavin,-1.3,271,-1.7,283,2,0,2,0,2,0,0,0,0,0,0,0,3.40%,0.20%
Keno Davis,-1.3,271,-1.2,263,1,0,1,0,1,0,0,0,0,0,0,0,7.60%,0.90%
Chris Holtmann,-1.4,275,-1.2,263,14,7,7,0.5,7,6,1,0,0,0,0,1,35.00%,5.30%
Anthony Grant,-1.4,275,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,4.80%,0.40%
Mick Cronin,-1.5,277,0,95,26,14,12,0.538,12,8,4,1,1,0,0,2,67.70%,23.60%
Marvin Menzies,-1.5,277,-1.4,275,5,0,5,0,5,0,0,0,0,0,0,0,1.20%,0.00%
Tad Boyle,-1.5,277,-1.9,290,7,2,5,0.286,5,2,0,0,0,0,0,0,14.30%,1.90%
Steve Wojciechowski,-1.5,277,-1.8,286,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.20%
Bobby Hurley,-1.5,277,-1.8,286,3,0,3,0,3,0,0,0,0,0,0,0,1.40%,0.10%
John Becker,-1.6,282,-0.9,245,5,0,5,0,5,0,0,0,0,0,0,0,1.50%,0.00%
Tim Jankovich,-1.6,282,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,10.80%,2.30%
Mark Schmidt,-1.6,282,-1.4,275,3,0,3,0,3,0,0,0,0,0,0,0,3.00%,0.20%
Steve Prohm,-1.7,285,-1.2,263,3,1,2,0.333,2,1,0,0,0,0,0,0,14.00%,2.20%
Tubby Smith,-1.7,285,-1.6,280,5,1,4,0.2,4,1,0,0,0,0,0,0,7.80%,0.70%
Dave Rice,-1.8,287,-2.2,296,2,0,2,0,2,0,0,0,0,0,0,0,4.30%,0.40%
Kevin Keatts,-1.8,287,-2,292,4,0,4,0,4,0,0,0,0,0,0,0,3.60%,0.20%
Bryce Drew,-1.9,289,-1.3,270,5,0,5,0,5,0,0,0,0,0,0,0,2.20%,0.20%
Cuonzo Martin,-2.1,290,-1.5,278,6,2,4,0.333,4,1,1,0,0,0,0,0,16.30%,3.30%
Kevin Willard,-2.1,290,-2.5,298,8,2,6,0.25,6,2,0,0,0,0,0,0,11.80%,1.30%
Stew Morrill,-2.1,290,-1.7,283,3,0,3,0,3,0,0,0,0,0,0,0,7.10%,1.00%
Thad Matta,-2.1,290,-0.7,233,19,12,7,0.632,7,5,4,2,1,0,0,4,81.00%,41.50%
Tommy Lloyd,-2.3,294,-3.6,304,4,2,2,0.5,2,1,1,0,0,0,0,2,31.40%,7.80%
Bruce Weber,-2.3,294,-2.7,299,11,4,7,0.364,7,2,1,1,0,0,0,0,20.40%,2.40%
Rick Byrd,-2.4,296,-1.9,290,6,0,6,0,6,0,0,0,0,0,0,0,6.40%,0.50%
Frank Haith,-2.5,297,-2.8,300,4,1,3,0.25,3,1,0,0,0,0,0,1,19.80%,3.40%
Dave Rose,-2.5,297,-2,292,9,3,6,0.333,6,2,1,0,0,0,0,0,26.50%,4.90%
Fran Dunphy,-2.6,299,-3.6,304,9,2,7,0.222,7,2,0,0,0,0,0,0,13.50%,1.40%
Brad Underwood,-2.6,299,-3.2,302,11,4,7,0.364,7,4,0,0,0,0,0,1,37.20%,8.40%
Fran McCaffery,-2.6,299,-1.7,283,15,6,9,0.4,9,6,0,0,0,0,0,1,34.20%,7.20%
Kevin Stallings,-2.7,302,-4.4,307,5,1,4,0.2,4,1,0,0,0,0,0,0,11.20%,1.60%
Randy Bennett,-2.7,302,-1.6,280,13,5,8,0.385,8,4,1,0,0,0,0,0,26.70%,5.20%
Mike Young,-2.8,304,-2.2,296,8,1,7,0.125,7,1,0,0,0,0,0,0,9.20%,0.80%
Shaka Smart,-3,305,-3.8,306,17,7,10,0.412,10,4,1,1,1,0,0,1,38.20%,6.30%
Travis Ford,-3,305,-3.3,303,7,1,6,0.143,6,1,0,0,0,0,0,0,11.50%,1.60%
Oliver Purnell,-3.2,307,-3,301,3,0,3,0,3,0,0,0,0,0,0,0,11.80%,1.60%
Matt Painter,-4.4,308,-4.4,307,29,16,13,0.552,13,9,6,1,0,0,0,2,75.60%,23.30%
Jamie Dixon,-4.8,309,-5.7,310,19,9,10,0.474,10,7,1,1,0,0,0,2,65.80%,20.70%
John Thompson,-5.8,310,-8,312,9,3,6,0.333,6,3,0,0,0,0,0,2,38.20%,7.30%
Tony Bennett,-6.5,311,-6.9,311,24,15,9,0.625,10,6,4,2,1,1,1,5,93.60%,52.60%
Rick Barnes,-7,312,-4.4,307,24,12,12,0.5,12,8,3,1,0,0,0,2,75.90%,25.20%
